ID_Entrenamiento,Accuracy,Macro_F1,Macro_Precision,Macro_Recall,AUC,Precision_Clase_0,Recall_Clase_0,F1_Clase_0,Precision_Clase_1,Recall_Clase_1,F1_Clase_1,Precision_Clase_2,Recall_Clase_2,F1_Clase_2
Entrenamiento_86770,0.3333333333333333,0.1668554171385428,0.1112789526686807,0.3333333333333333,0.544438415811852,0.0,0.0,0.0,0.3338368580060423,1.0,0.5005662514156285,0.0,0.0,0.0
Entrenamiento_86771,0.3378582202111614,0.2010346682680879,0.2769028871391076,0.3378582202111613,0.6303942043228706,0.0,0.0,0.0,0.3307086614173228,0.9502262443438914,0.4906542056074766,0.5,0.0633484162895927,0.1124497991967871
Entrenamiento_86777,0.4751131221719457,0.4101769011448296,0.5994887349349142,0.4751131221719457,0.8030104488715083,0.4282907662082514,0.986425339366516,0.5972602739726027,0.8,0.1447963800904977,0.2452107279693486,0.5701754385964912,0.2941176470588235,0.3880597014925373
Entrenamiento_86778,0.832579185520362,0.8346431512937459,0.838199623512126,0.832579185520362,0.9386069081304642,0.9805825242718448,0.9140271493212668,0.9461358313817332,0.7394957983193278,0.7963800904977375,0.7668845315904139,0.7945205479452054,0.7873303167420814,0.7909090909090909
Entrenamiento_86779,0.6862745098039216,0.673469627245371,0.6934311627294084,0.6862745098039215,0.8597899305911016,0.6907894736842105,0.9502262443438914,0.8,0.6342592592592593,0.6199095022624435,0.6270022883295194,0.7552447552447552,0.4886877828054298,0.5934065934065934
Entrenamiento_86780,0.8446455505279035,0.8447278840336917,0.8496120856927392,0.8446455505279035,0.9441725872388634,0.9672897196261684,0.9366515837104072,0.9517241379310344,0.8256410256410256,0.7285067873303167,0.7740384615384616,0.7559055118110236,0.8687782805429864,0.8084210526315789
Entrenamiento_86781,0.8446455505279035,0.8412392808223769,0.8534391978650325,0.8446455505279035,0.9466534264245204,0.9466666666666668,0.9638009049773756,0.9551569506726456,0.8682634730538922,0.6561085972850679,0.7474226804123711,0.7453874538745388,0.9140271493212668,0.8211382113821138
Entrenamiento_86782,0.8295625942684767,0.8291616676100686,0.8300286880107453,0.8295625942684767,0.9378868846529214,0.9454545454545454,0.9411764705882352,0.943310657596372,0.7766990291262136,0.7239819004524887,0.7494145199063232,0.7679324894514767,0.8235294117647058,0.7947598253275109
Entrenamiento_86772,0.4781297134238311,0.3930593520677456,0.4646529157599268,0.4781297134238311,0.7679801123373123,0.9166666666666666,0.4479638009049774,0.601823708206687,0.0769230769230769,0.004524886877828,0.0085470085470085,0.4003690036900369,0.9819004524886876,0.5688073394495413
Entrenamiento_86773,0.8431372549019608,0.8442377660741919,0.8473589733635157,0.8431372549019608,0.9393849429782356,0.9759615384615384,0.918552036199095,0.9463869463869464,0.7924528301886793,0.7601809954751131,0.7759815242494227,0.7736625514403292,0.8506787330316742,0.8103448275862069
Entrenamiento_86774,0.8506787330316742,0.849421622068582,0.8517506994911085,0.8506787330316742,0.9480286371422916,0.9466666666666668,0.9638009049773756,0.9551569506726456,0.8298969072164949,0.7285067873303167,0.7759036144578313,0.7786885245901639,0.8597285067873304,0.8172043010752689
Entrenamiento_86775,0.8371040723981901,0.8354003421547299,0.8359788359788359,0.8371040723981901,0.9397637231014926,0.922077922077922,0.9638009049773756,0.9424778761061948,0.8080808080808081,0.7239819004524887,0.7637231503579952,0.7777777777777778,0.8235294117647058,0.8
Entrenamiento_86776,0.8340874811463047,0.8341341417375693,0.8352947306521367,0.8340874811463047,0.9398592712406928,0.9545454545454546,0.9502262443438914,0.9523809523809524,0.7542372881355932,0.8054298642533937,0.7789934354485777,0.7971014492753623,0.746606334841629,0.7710280373831776
Entrenamiento_86769,0.3559577677224736,0.2160183545629367,0.3604393115942028,0.3559577677224736,0.5724647324993345,0.0,0.0,0.0,0.3421875,0.990950226244344,0.5087108013937283,0.7391304347826086,0.0769230769230769,0.1393442622950819
Entrenamiento_86736,0.8597285067873304,0.8594238567776656,0.8596706394308847,0.8597285067873304,0.9496836674105772,0.9638009049773756,0.9638009049773756,0.9638009049773756,0.8056872037914692,0.7692307692307693,0.7870370370370371,0.8095238095238095,0.8461538461538461,0.827433628318584
Entrenamiento_86737,0.8567119155354449,0.856390738404953,0.8576368595363335,0.8567119155354449,0.94966319280932,0.9642857142857144,0.9773755656108596,0.9707865168539326,0.7711864406779662,0.8235294117647058,0.7964989059080962,0.8374384236453202,0.7692307692307693,0.8018867924528302
Entrenamiento_86742,0.8506787330316742,0.8512106378875598,0.8520768865439271,0.8506787330316742,0.9487042989837772,0.9585253456221198,0.9411764705882352,0.9497716894977168,0.7782608695652173,0.8099547511312217,0.7937915742793792,0.8194444444444444,0.8009049773755657,0.8100686498855835
Entrenamiento_86754,0.8536953242835595,0.8535453283161152,0.8573624567778791,0.8536953242835595,0.9448107123113776,0.97196261682243,0.9411764705882352,0.9563218390804598,0.8232323232323232,0.7375565610859729,0.7780429594272077,0.7768924302788844,0.8823529411764706,0.826271186440678
Entrenamiento_86733,0.8642533936651584,0.8644315173020511,0.8674724390303572,0.8642533936651584,0.947544071579206,0.9764150943396226,0.9366515837104072,0.9561200923787528,0.8284313725490197,0.7647058823529411,0.7952941176470588,0.7975708502024291,0.8914027149321267,0.8418803418803419
